Zeit [s],Q_downhole [lpm]_s,Pint_downhole [MPa]
2609.923,0.060833268,0.13993
2609.973,0.064138723,0.141475
2610.023,0.06110377,0.139544
2610.073,0.064453589,0.139544
2610.123,0.061240599,0.138386
2610.173,0.064725093,0.139158
2610.223,0.06149398,0.13993
2610.273,0.065004846,0.138772
2610.323,0.061801673,0.141475
2610.373,0.065268358,0.142247
2610.423,0.062131792,0.140317
2610.473,0.06549568,0.13993
2610.523,0.062463663,0.141089
2610.573,0.065539161,0.141089
2610.623,0.062605952,0.140317
2610.673,0.065500174,0.140317
2610.723,0.062868278,0.140317
2610.773,0.065453145,0.139158
2610.823,0.063191274,0.142247
2610.873,0.065373258,0.140317
2610.923,0.063541755,0.140703
2610.973,0.065244521,0.139544
2611.023,0.06388241,0.141861
2611.073,0.064995901,0.141861
2611.123,0.064166624,0.141475
2611.173,0.064715912,0.13993
2611.223,0.064486658,0.141475
2611.273,0.064417819,0.13993
2611.323,0.064802975,0.143792
2611.373,0.064111839,0.141475
2611.423,0.065112727,0.141475
2611.473,0.063819633,0.141475
2611.523,0.065361711,0.139544
2611.573,0.063430361,0.139544
2611.623,0.065520937,0.141861
2611.673,0.063084006,0.140317
2611.723,0.065689996,0.141475
2611.773,0.062801066,0.141861
2611.823,0.065847432,0.140317
2611.873,0.062578353,0.141475
2611.923,0.065975022,0.141861
2611.973,0.062406357,0.140317
2612.023,0.065899496,0.142247
2612.073,0.061953151,0.142247
2612.123,0.065745267,0.13993
2612.173,0.061643392,0.140317
2612.223,0.065636146,0.141475
2612.273,0.061417263,0.141861
2612.323,0.065516938,0.140703
2612.373,0.061250148,0.140317
2612.423,0.065358359,0.141475
2612.473,0.061120068,0.141089
2612.523,0.064990999,0.140703
2612.573,0.060718473,0.140703
2612.623,0.064615182,0.141861
2612.673,0.060468663,0.139544
2612.723,0.06428811,0.139544
2612.773,0.060279012,0.139544
2612.823,0.063955535,0.138
2612.873,0.060120916,0.13993
2612.923,0.063593681,0.140703
2612.973,0.059973041,0.140317
2613.023,0.063141242,0.138772
2613.073,0.059736054,0.138772
2613.123,0.062750233,0.138772
2613.173,0.059611018,0.138772
2613.223,0.062400612,0.141089
2613.273,0.059517767,0.139544
2613.323,0.062059065,0.137614
2613.373,0.059436269,0.138772
2613.423,0.061721384,0.13993
2613.473,0.05935303,0.139544
2613.523,0.061397144,0.140317
2613.573,0.059295536,0.140317
2613.623,0.061165975,0.139158
2613.673,0.059303951,0.138
2613.723,0.060981742,0.139544
2613.773,0.059329743,0.138772
2613.823,0.060831203,0.136069
2613.873,0.059363448,0.13993
2613.923,0.060714086,0.139544
2613.973,0.059401747,0.138386
2614.023,0.060644294,0.138
2614.073,0.059482942,0.138
2614.123,0.060663753,0.138386
2614.173,0.059606539,0.139158
2614.223,0.060742177,0.138772
2614.273,0.05974823,0.138772
2614.323,0.060869439,0.140703
2614.373,0.0599077,0.140703
2614.423,0.061037281,0.139544
2614.473,0.060088958,0.13993
2614.523,0.061243764,0.140317
2614.573,0.060322833,0.140317
2614.623,0.061524315,0.139158
2614.673,0.060608127,0.139544
2614.723,0.061861363,0.13993
2614.773,0.060922147,0.141475
2614.823,0.062241289,0.141089
2614.873,0.061263949,0.138
2614.923,0.062650711,0.138
2614.973,0.061632843,0.138386
2615.023,0.063057071,0.138
2615.073,0.062035526,0.138
2615.123,0.063491021,0.137228
2615.173,0.062502002,0.138772
2615.223,0.063953588,0.139544
2615.273,0.062992484,0.139544
2615.323,0.064435383,0.139158
2615.373,0.063489768,0.139158
2615.423,0.064928146,0.138386
2615.473,0.063967765,0.139158
2615.523,0.065346541,0.136841
2615.573,0.064403495,0.136841
2615.623,0.065711225,0.136069
2615.673,0.064885389,0.137614
2615.723,0.066047466,0.137228
2615.773,0.065358309,0.138772
2615.823,0.066349465,0.138386
2615.873,0.065790092,0.138772
2615.923,0.066611836,0.139158
2615.973,0.066142146,0.137228
2616.023,0.066751538,0.138772
2616.073,0.066410725,0.138772
2616.123,0.066795475,0.137614
2616.173,0.066659173,0.138
2616.223,0.066762892,0.138
2616.273,0.066852346,0.139158
2616.323,0.066657386,0.139544
2616.373,0.066988392,0.139158
2616.423,0.066499509,0.137614
2616.473,0.067038303,0.13993
2616.523,0.066219305,0.138
2616.573,0.066964262,0.138
2616.623,0.065865021,0.138386
2616.673,0.06684503,0.138
2616.723,0.065480329,0.139544
2616.773,0.066667613,0.138
2616.823,0.065089643,0.139544
2616.873,0.066424501,0.139544
2616.923,0.064712498,0.139158
2616.973,0.066050785,0.139158
2617.023,0.064180944,0.13993
2617.073,0.065593228,0.13993
2617.123,0.063638276,0.139158
2617.173,0.065157265,0.141089
2617.223,0.063114769,0.141089
2617.273,0.06470966,0.138
2617.323,0.062620481,0.141089
2617.373,0.064244803,0.140317
2617.423,0.062161629,0.139544
2617.473,0.063729197,0.138772
2617.523,0.061653996,0.139544
2617.573,0.063243959,0.139544
2617.623,0.061220046,0.139158
2617.673,0.062800737,0.140317
2617.723,0.060839833,0.141089
2617.773,0.06237506,0.138772
2617.823,0.060502594,0.140703
2617.873,0.06197063,0.140317
2617.923,0.060198765,0.139158
2617.973,0.061594303,0.140317
2618.023,0.059939991,0.139544
2618.073,0.061306792,0.139544
2618.123,0.059768195,0.140317
2618.173,0.061068451,0.139544
2618.223,0.059643916,0.140317
2618.273,0.060867439,0.138772
2618.323,0.059554102,0.139544
